Name,Official Name,Company Number,Jurisdiction,Previous Names,SIC code,Incorporation Date,Company Type,Street,Postal,Locality,Region,Phone,Email2,Mobile,Fax,Website,Email,Products,Service,Keyword,Brands,Service Areas,Contact Person,Contact Phone,Facilities, All Categories present in,Payment Methods,Social Media,Categories,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,URL
DPD Parcel Shop Location - Family Shopper - Brecon Superstore,NA,NA,NA,NA,NA,NA,NA,30 Brecon Road ,SA9 1HE,Ystradgynlais ,Neath Port Talbot Wales,0121 275 0500,NA,NA,NA,https://www.dpdlocal-online.co.uk/content/yext/,NA,NA,Courier,NA,NA,NA,,NA,NA,"Business & Professional Services Ystradgynlais,Mail & Delivery Services Ystradgynlais,Couriers & Messengers Ystradgynlais,Business & Professional Services,Mail & Delivery Services,Couriers & Messengers",,NA,"DPD, Courier Service",08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,08:00 - 22:00,08:00 - 23:00,08:00 - 23:00,08:00 - 23:00,https://ystradgynlais.cylex-uk.co.uk/company/dpd-parcel-shop-location---family-shopper---brecon-superstore-26932059.html
Bull Art Graphics,NA,NA,NA,NA,NA,NA,NA,"Unit 2, Ystradgynlais Workshops, Trawsfford Road ",SA9 1BS,Ystradgynlais ,Neath Port Talbot Wales,01639 502026,NA,NA,NA,,NA,NA,"badge makers, poster printing, printers' services, embroidery, Custom Workwear, Clothing Printing, stag and hen t-shirts","Printer Service, Stag and Hen T Shirts",NA,NA,,NA,NA,"Business & Professional Services Ystradgynlais,T-shirt & Garment Printing Ystradgynlais,Business & Professional Services,T-shirt & Garment Printing","American Express,Cash,Maestro,MasterCard,PayPal,Visa,Debit Card","https://www.facebook.com/pages/Bullart-Graphics/683013661805751,https://twitter.com/intent/user?screen_name=Bullartgraphics&original_referer=https%3a%2f%2fystradgynlais.cylex-uk.co.uk%2fcompany%2fbull-art-graphics-26255739.html",T-Shirt Printers,08:00 - 16:00,08:00 - 16:00,Closed,Closed,08:00 - 16:00,08:00 - 16:00,08:00 - 16:00,https://ystradgynlais.cylex-uk.co.uk/company/bull-art-graphics-26255739.html
Lumin Accountancy Ltd,NA,NA,NA,NA,NA,NA,NA,"3 Brecon Rd, The Forum Business Centre ",SA9 1HE,Ystradgynlais ,Neath Port Talbot Wales,3301330344,NA,NA,NA,www.lumin-accountancy.co.uk,NA,NA,NA,"Accountants, Management Accounts, Year End Accounts, Payroll, Tax Return, Auto Enrolment, Accountants Near Me, Finance Director Services, Accountants Ystradgynlais",NA,NA,,NA,NA,"Finance Ystradgynlais,Financial Services Ystradgynlais,Chartered Accountants Ystradgynlais,Finance,Financial Services,Chartered Accountants,Finance,Financial Services,Accounting & Bookkeeping,Business & Professional Services,Business Consultants",,http://www.facebook.com/luminacc,NA,08:00 - 18:00,08:00 - 18:00,10:00 - 14:00,Closed,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,https://ystradgynlais.cylex-uk.co.uk/company/lumin-accountancy-ltd-26370908.html
Securion Technology Ltd,SECURION TECHNOLOGY LIMITED,5241740,England/Wales,NA,62020 - Information technology consultancy activities,27-Sep-04,Private Limited Company,68 Tawe Park ,SA9 1GW,Ystradgynlais ,Neath Port Talbot Wales,01792 824184,NA,07792 484505,NA,securion.co.uk,NA,NA,NA,"IT Services, IT Consultants, Bespoke Software Development, Network Installation, IT Security Systems",NA,NA,,NA,NA,"Electronics & Technology Ystradgynlais,Computers & Software Ystradgynlais,Computer & Software Shops Ystradgynlais,Electronics & Technology,Computers & Software,Computer & Software Shops,Electronics & Technology,Computer Services,IT Services",,NA,NA,09:00 - 17:00,09:00 - 17:00,Closed,Closed,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,https://ystradgynlais.cylex-uk.co.uk/company/securion-technology-ltd-14056901.html
Post Office Limited,NA,NA,NA,NA,NA,NA,NA,1 Llandeilo Road ,SA18 1AT,Upper Brynamman ,Carmarthenshire Wales,01269 823213,NA,0345 722 3344,NA,www.postoffice.co.uk,NA,"Postal Supplies, Coins, Stamps, Stationery, Labels, Office Supplies, Office Equipment, Inks and Toners, Sticky Notes","Postal Services, Uk Parcel Delivery, International Parcel Delivery, Uk Mail Delivery, International Mail Delivery, Life Insurance, Car Insurance, Van Insurance, Motorcycle Insurance, Home Insurance, Pet Insurance, Business Insurance, Travel Insurance, Travel Money, Vehicle Tax, Parcel Delivery, Courier","Post Office, Mail Delivery, Postal Service, Alternative Languages Available, dropdown counters, Facilities for Hard of Hearing People, lap trays and portable chip & pin, Low Payment Counters including clipboards, Ink and Toner, International UK Mail Delivery",NA,NA,,NA,"Facilities for partially sighted or blind, Assisted wheelchair access, Facilities for the mobility impaired, Facilities for hard of hearing people., Induction loop available, Staff assistance available, Low Payment Counters including clipboards, dropdown counters, lap trays and portable chip & pin, Parent with pushchair access, Alternative languages available.","Business & Professional Services Upper Brynamman,Postal Services Upper Brynamman,Post Office Upper Brynamman,Business & Professional Services,Postal Services,Post Office",,"http://www.facebook.com/postoffice,https://twitter.com/intent/user?screen_name=postoffice&original_referer=https%3a%2f%2fupper-brynamman.cylex-uk.co.uk%2fcompany%2fpost-office-limited-15710108.html,https://www.youtube.com/user/postoffice",NA,09:00 - 17:00,09:00 - 17:00,09:00 - 13:00,Closed,Closed,Closed,09:00 - 17:00,https://upper-brynamman.cylex-uk.co.uk/company/post-office-limited-15710108.html
Gerald Kemp Heating Services,NA,NA,NA,NA,NA,NA,NA,93 Brecon Rd ,SA9 1HJ,Ystradgynlais ,Neath Port Talbot Wales,01639 844890,NA,07976 535085,NA,www.gkhs.co.uk,NA,NA,NA,NA,NA,NA,,NA,NA,,,NA,NA,08:00 - 18:00,08:00 - 18:00,09:00 - 12:00,Closed,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,https://ystradgynlais.cylex-uk.co.uk/company/gerald-kemp-heating-services-26916074.html
Post Office Limited,NA,NA,NA,NA,NA,NA,NA,14 Commercial Road ,SA11 4HF,Neath ,Neath Port Talbot Wales,01639 710334,NA,NA,NA,www.postoffice.co.uk,NA,"Postal Supplies, Coins, Stamps, Stationery, Labels, Office Supplies, Office Equipment, Inks and Toners, Sticky Notes","Drop & Go, Parcelforce Express Services, Vehicle Tax, Foreign Currency - Euros only, Travel Insurance, National Express - Tickets, Current Account - Servicing, Savings application forms, Lotto prize payments, Lotto ticket sales, Courier","Post Office, Mail Delivery, Current Account Servicing, dropdown counters, Facilities for Hard of Hearing People, Foreign Currency Euros Only, lap trays and portable chip & pin, Low Payment Counters including clipboards, Ink and Toner, National Express Tickets",NA,NA,,NA,"Facilities for partially sighted or blind, Assisted wheelchair access, Facilities for the mobility impaired, Facilities for hard of hearing people., Induction loop available, Staff assistance available, Low Payment Counters including clipboards, dropdown counters, lap trays and portable chip & pin, Parent with pushchair access","Business & Professional Services Neath,Postal Services Neath,Post Office Neath,Business & Professional Services,Postal Services,Post Office",,"https://www.facebook.com/postoffice,https://twitter.com/intent/user?screen_name=postoffice&original_referer=https%3a%2f%2fneath.cylex-uk.co.uk%2fcompany%2fpost-office-limited-15680136.html,https://www.youtube.com/user/postoffice",NA,09:00 - 17:30,09:00 - 17:30,09:00 - 12:00,Closed,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,https://neath.cylex-uk.co.uk/company/post-office-limited-15680136.html
Post Office Limited,NA,NA,NA,NA,NA,NA,NA,39 Heol Eglwys,SA10 9PF,Neath ,Neath Port Talbot Wales,01639 700215,NA,NA,NA,www.postoffice.co.uk,NA,"Postal Supplies, Coins, Stamps, Stationery, Labels, Office Supplies, Office Equipment, Inks and Toners, Sticky Notes","Postal Services, Uk Parcel Delivery, International Parcel Delivery, Uk Mail Delivery, International Mail Delivery, Life Insurance, Car Insurance, Van Insurance, Motorcycle Insurance, Home Insurance, Pet Insurance, Business Insurance, Travel Insurance, Travel Money, Vehicle Tax, Parcel Delivery, Courier","Post Office, Mail Delivery, Postal Service, dropdown counters, Facilities for Hard of Hearing People, lap trays and portable chip & pin, Low Payment Counters including clipboards, Low Reception/Information Counters Available, Ink and Toner, International UK Mail Delivery",NA,NA,,NA,"Facilities for partially sighted or blind, Assisted wheelchair access, Facilities for the mobility impaired, Facilities for hard of hearing people., Induction loop available, Staff assistance available, Low Payment Counters including clipboards, dropdown counters, lap trays and portable chip & pin, Low Reception/Information counters available., Parent with pushchair access","Business & Professional Services Neath,Postal Services Neath,Post Office Neath,Business & Professional Services,Postal Services,Post Office",,"http://www.facebook.com/postoffice,https://twitter.com/intent/user?screen_name=postoffice&original_referer=https%3a%2f%2fneath.cylex-uk.co.uk%2fcompany%2fpost-office-limited-15588178.html,https://www.youtube.com/user/postoffice",NA,09:00 - 17:00,09:00 - 17:00,09:00 - 12:00,Closed,09:00 - 17:00,09:00 - 13:00,09:00 - 17:00,https://neath.cylex-uk.co.uk/company/post-office-limited-15588178.html
Post Office Limited,NA,NA,NA,NA,NA,NA,NA,7 Main Road ,SA10 8RD,Crynant ,Neath Port Talbot Wales,3457223344,NA,NA,NA,www.postoffice.co.uk,NA,NA,"Drop & Go, Parcelforce Express Services, Vehicle Tax, Foreign Currency - Euros only, Travel Insurance, National Express - Tickets, Current Account - Servicing, Savings application forms, Courier","Post Office, Mail Delivery, Current Account Servicing, Foreign Currency Euros Only, National Express Tickets",NA,NA,,NA,"Facilities for partially sighted or blind, Assisted wheelchair access, Facilities for the mobility impaired, Facilities for hard of hearing people, Induction loop available, Staff assistance available, Parent with pushchair access, Alternative languages available","Business & Professional Services Crynant,Postal Services Crynant,Post Office Crynant,Business & Professional Services,Postal Services,Post Office",,"https://www.facebook.com/postoffice,https://twitter.com/intent/user?screen_name=postoffice&original_referer=https%3a%2f%2fcrynant.cylex-uk.co.uk%2fcompany%2fpost-office-limited-12964653.html,https://www.youtube.com/user/postoffice",NA,09:00 - 17:30,09:00 - 17:30,09:00 - 12:30,Closed,09:00 - 17:30,09:00 - 17:30,09:00 - 13:00,https://crynant.cylex-uk.co.uk/company/post-office-limited-12964653.html
Sejabos Ltd,SEJABOS LTD,8063988,Wales,NA,70229 - Management consultancy activities other than financial management,10-May-12,Private Limited Company,"2 TIR-Y-WAUN, BRECON ROAD ",SA9 1QL,Ystradgynlais ,Neath Port Talbot Wales,NA,NA,NA,NA,,NA,NA,NA,"Management Consultants, Business Consultants, IT Services, Computer Services",NA,NA,,NA,NA,"Business & Professional Services Ystradgynlais,Business Consultants Ystradgynlais,Business & Management Consultants Ystradgynlais,Business & Professional Services,Business Consultants,Business & Management Consultants",,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://ystradgynlais.cylex-uk.co.uk/company/sejabos-ltd-22829376.html
Post Office Limited,NA,NA,NA,NA,NA,NA,NA,50 Wern Road ,SA9 2LY,Ystalyfera ,Neath Port Talbot Wales,01639 842256,NA,NA,NA,www.postoffice.co.uk,NA,"Postal Supplies, Coins, Stamps, Stationery, Labels, Office Supplies, Office Equipment, Inks and Toners, Sticky Notes","Drop & Go, Parcelforce Express Services, Foreign Currency - Euros only, Travel Insurance, National Express - Tickets, Current Account - Servicing, Savings application forms, Lotto prize payments, Lotto ticket sales, Courier","Post Office, Mail Delivery, Alternative Languages Available, Current Account Servicing, dropdown counters, Facilities for Hard of Hearing People, Foreign Currency Euros Only, lap trays and portable chip & pin, Low Payment Counters including clipboards, Ink and Toner, National Express Tickets",NA,NA,,NA,"Facilities for partially sighted or blind, Assisted wheelchair access, Facilities for the mobility impaired, Facilities for hard of hearing people., Induction loop available, Staff assistance available, Low Payment Counters including clipboards, dropdown counters, lap trays and portable chip & pin, Parent with pushchair access, Alternative languages available.","Business & Professional Services Ystalyfera,Postal Services Ystalyfera,Post Office Ystalyfera,Business & Professional Services,Postal Services,Post Office",,"https://www.facebook.com/postoffice,https://twitter.com/intent/user?screen_name=postoffice&original_referer=https%3a%2f%2fystalyfera.cylex-uk.co.uk%2fcompany%2fpost-office-limited-15717868.html,https://www.youtube.com/user/postoffice",NA,09:00 - 17:30,09:00 - 17:30,09:00 - 12:30,Closed,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,https://ystalyfera.cylex-uk.co.uk/company/post-office-limited-15717868.html
Post Office Limited,NA,NA,NA,NA,NA,NA,NA,54 Varteg Road ,SA9 2EL,Ystalyfera ,Neath Port Talbot Wales,01639 842122,NA,NA,NA,www.postoffice.co.uk,NA,"Postal Supplies, Coins, Stamps, Stationery, Labels, Office Supplies, Office Equipment, Inks and Toners, Sticky Notes","Drop & Go, Parcelforce Express Services, Foreign Currency - Euros only, Travel Insurance, National Express - Tickets, Current Account - Servicing, Savings application forms, Courier","Post Office, Mail Delivery, Alternative Languages Available, Current Account Servicing, Facilities for Hard of Hearing People, Foreign Currency Euros Only, Ink and Toner, National Express Tickets",NA,NA,,NA,"Facilities for partially sighted or blind, Assisted wheelchair access, Facilities for the mobility impaired, Facilities for hard of hearing people., Induction loop available, Staff assistance available, Parent with pushchair access, Alternative languages available.","Business & Professional Services Ystalyfera,Postal Services Ystalyfera,Post Office Ystalyfera,Business & Professional Services,Postal Services,Post Office",,"https://www.facebook.com/postoffice,https://twitter.com/intent/user?screen_name=postoffice&original_referer=https%3a%2f%2fystalyfera.cylex-uk.co.uk%2fcompany%2fpost-office-limited-15717257.html,https://www.youtube.com/user/postoffice",NA,09:00 - 17:30,09:00 - 13:00,Closed,Closed,09:00 - 17:30,09:00 - 17:30,09:00 - 13:00,https://ystalyfera.cylex-uk.co.uk/company/post-office-limited-15717257.html
Post Office Limited,NA,NA,NA,NA,NA,NA,NA,18 Gwilym Road (Ck Supermarkets) ,SA9 2GH,Cwmllynfell ,Carmarthenshire Wales,3457223344,NA,NA,NA,www.postoffice.co.uk,NA,NA,"Drop & Go, Parcelforce Express Services, Foreign Currency - Euros only, Travel Insurance, National Express - Tickets, Current Account - Servicing, Lotto prize payments, Lotto ticket sales, Courier","Post Office, Mail Delivery, Current Account Servicing, Foreign Currency Euros Only, National Express Tickets",NA,NA,,NA,"Facilities for partially sighted or blind, Assisted wheelchair access, Facilities for the mobility impaired, Facilities for hard of hearing people, Induction loop available, Staff assistance available, Parent with pushchair access, Alternative languages available","Business & Professional Services Cwmllynfell,Postal Services Cwmllynfell,Post Office Cwmllynfell,Business & Professional Services,Postal Services,Post Office",,"https://www.facebook.com/postoffice,https://twitter.com/intent/user?screen_name=postoffice&original_referer=https%3a%2f%2fcwmllynfell.cylex-uk.co.uk%2fcompany%2fpost-office-limited-18837515.html,https://www.youtube.com/user/postoffice",NA,09:00 - 17:30,09:00 - 17:30,09:00 - 12:30,Closed,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,https://cwmllynfell.cylex-uk.co.uk/company/post-office-limited-18837515.html
Beneficial Finance,NA,NA,NA,NA,NA,NA,NA,"FRIGATE HOUSE/QUAY WEST, QUAY PARADE ",SA1 1SR,Swansea ,Swansea Wales,01792 477363,NA,01792 477425,NA,www.benficial.com,NA,NA,NA,"Loans, Debt, Borrowing",NA,NA,,NA,NA,"Finance Swansea,Loans Swansea,Finance,Loans",,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://swansea.cylex-uk.co.uk/company/beneficial-finance-13604307.html
Everyday Loans SWANSEA,NA,NA,NA,NA,NA,NA,NA,Princess Way ,SA1 3LW,Swansea ,Swansea Wales,01792 346246,NA,NA,NA,www.everyday-loans.co.uk,NA,NA,"Personal loans, Debt consolidation","Loans, Borrow Money",NA,NA,,NA,NA,"Finance Swansea,Loans Swansea,Finance,Loans",,NA,NA,10:00 - 18:00,10:00 - 18:00,10:00 - 12:00,Closed,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,https://swansea.cylex-uk.co.uk/company/everyday-loans-swansea-26698458.html
Everyday Loans SWANSEA,NA,NA,NA,NA,NA,NA,NA,Adelaide Street ,SA1 1SB,Swansea ,Swansea Wales,029 2023 5911,NA,NA,NA,www.everyday-loans.co.uk,NA,NA,"personal loans, debt consolidation",Loan Agencies,NA,NA,,NA,NA,"Finance Swansea,Loans Swansea,Best Loan Agencies Swansea,Finance,Loans,Loan Agencies",,"https://www.facebook.com/everydayloans/,https://twitter.com/intent/user?screen_name=everydayloans&original_referer=https%3a%2f%2fswansea.cylex-uk.co.uk%2fcompany%2feveryday-loans-swansea-23846994.html",NA,10:00 - 18:00,10:00 - 18:00,Closed,Closed,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,https://swansea.cylex-uk.co.uk/company/everyday-loans-swansea-23846994.html
BMI Hose Ltd,NA,NA,NA,NA,NA,NA,NA,"Unit J25, Ashmount Business Park, Upper Fforest Way ",SA6 8QR,Swansea Enterprise Park ,Swansea Wales,01792 795771,NA,NA,NA,,NA,NA,NA,"Loan Companies, Alert Potential Investors, Failed Franchise, Hose Franchise, Investment Decision",NA,NA,,NA,NA,"Finance Swansea Enterprise Park,Loans Swansea Enterprise Park,Loan Agencies Swansea Enterprise Park,Finance,Loans,Loan Agencies",,https://twitter.com/intent/user?screen_name=bmihose&original_referer=https%3a%2f%2fswansea-enterprise-park.cylex-uk.co.uk%2fcompany%2fbmi-hose-ltd-23613701.html,NA,NA,NA,NA,NA,NA,NA,NA,https://swansea-enterprise-park.cylex-uk.co.uk/company/bmi-hose-ltd-23613701.html
Lloyds Bank - Pontardawe,NA,NA,NA,NA,NA,NA,NA,66 Herbert Street ,SA8 4ED,Pontardawe ,Neath Port Talbot Wales,NA,NA,NA,NA,,NA,NA,NA,"Bank, Insurance, Mortgages, Loans",NA,NA,,NA,ATM,"Finance Pontardawe,Banking Services Pontardawe,Banks & ATMs Pontardawe,Finance,Banking Services,Banks & ATMs,Finance,Mortgages,Mortgage Lenders,Finance,Insurance,Insurance Agents & Companies,Finance,Financial Services,Finance,Financial Consultants",,NA,NA,09:00 - 16:30,09:00 - 16:30,Closed,Closed,09:00 - 16:30,09:00 - 16:30,09:30 - 16:30,https://pontardawe.cylex-uk.co.uk/company/lloyds-bank---pontardawe-23858242.html
Barclays Bank,Barclays Bank,NA,NA,NA,NA,NA,NA,16 High Street ,SA8 4HU,Pontardawe ,Neath Port Talbot Wales,0345 734 5345,NA,NA,NA,www.barclays.co.uk,NA,NA,"Barclays Bank Account, Barclays Personalised Card, Car Insurance, Credit cards, Home insurance, Instant Cash ISA, Life Insurance, Personal loans, Travel Insurance","Financial Services, Bank, Credit Card",NA,NA,,NA,NA,"Finance Pontardawe,Banking Services Pontardawe,Best Banks & ATMs Pontardawe,Finance,Banking Services,Banks & ATMs,Finance,Insurance,Insurance Agents & Companies,Finance,Mortgages,Mortgage Lenders,Finance,Investment Services,Investment Companies & Brokers,Finance,Financial Services",,"https://www.facebook.com/BarclaysUK,https://twitter.com/intent/user?screen_name=barclays&original_referer=https%3a%2f%2fpontardawe.cylex-uk.co.uk%2fcompany%2fbarclays-bank-19302784.html",NA,09:00 - 17:00,09:00 - 17:00,09:00 - 14:00,Closed,09:00 - 17:00,09:00 - 17:00,10:00 - 17:00,https://pontardawe.cylex-uk.co.uk/company/barclays-bank-19302784.html
Lloyds Bank - Pontardawe,NA,NA,NA,NA,NA,NA,NA,66 Herbert Street ,SA8 4ED,Pontardawe ,Neath Port Talbot Wales,NA,NA,NA,NA,,NA,NA,NA,"Bank, Insurance, Mortgages, Loans",NA,NA,,NA,NA,"Finance Pontardawe,Banking Services Pontardawe,Banks & ATMs Pontardawe,Finance,Banking Services,Banks & ATMs,Finance,Mortgages,Mortgage Lenders,Finance,Insurance,Insurance Agents & Companies,Finance,Financial Services,Finance,Financial Consultants",,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pontardawe.cylex-uk.co.uk/company/lloyds-bank---pontardawe-26210219.html
Lloyds Bank - Pontardawe,NA,NA,NA,NA,NA,NA,NA,66 Herbert Street ,SA8 4ED,Pontardawe ,Neath Port Talbot Wales,01245 704705,NA,01245 704705,0845 300 0000,,NA,NA,NA,"Bank, Insurance, Mortgages, Loans",NA,NA,,NA,"Disabled access, Nightsafe","Finance Pontardawe,Banking Services Pontardawe,Banks & ATMs Pontardawe,Finance,Banking Services,Banks & ATMs,Finance,Mortgages,Mortgage Lenders,Finance,Insurance,Insurance Agents & Companies,Finance,Financial Services,Finance,Financial Consultants",,"https://www.facebook.com/lloydsbank,https://twitter.com/intent/user?screen_name=AskLloydsBank&original_referer=https%3a%2f%2fpontardawe.cylex-uk.co.uk%2fcompany%2flloyds-bank---pontardawe-18832935.html",NA,09:00 - 16:30,09:00 - 16:30,Closed,Closed,09:00 - 16:30,09:00 - 16:30,09:30 - 16:30,https://pontardawe.cylex-uk.co.uk/company/lloyds-bank---pontardawe-18832935.html
Lloyds Bank - Pontardawe,NA,NA,NA,NA,NA,NA,NA,Street ,SA8 4EJ,Pontardawe ,Neath Port Talbot Wales,NA,NA,NA,NA,,NA,NA,NA,"Bank, Insurance, Mortgages, Loans",NA,NA,,NA,NA,"Finance Pontardawe,Banking Services Pontardawe,Banks & ATMs Pontardawe,Finance,Banking Services,Banks & ATMs,Finance,Mortgages,Mortgage Lenders,Finance,Insurance,Insurance Agents & Companies,Finance,Financial Services,Finance,Financial Consultants",,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://pontardawe.cylex-uk.co.uk/company/lloyds-bank---pontardawe-26214618.html
Post Office Limited,NA,NA,NA,NA,NA,NA,NA,119 Heol Twrch ,SA9 2TE,Lower Cwmtwrch ,Powys Wales,01639 831007,NA,NA,NA,www.postoffice.co.uk,NA,NA,"Drop & Go, Parcelforce Express Services, Foreign Currency - Euros only, Travel Insurance, National Express - Tickets, Current Account - Servicing, Lotto prize payments, Lotto ticket sales, Courier","Post Office, Mail Delivery, Current Account Servicing, Foreign Currency Euros Only, National Express Tickets",NA,NA,,NA,"Facilities for partially sighted or blind, Assisted wheelchair access, Facilities for the mobility impaired, Facilities for hard of hearing people, Induction loop available, Staff assistance available, Low Reception/Information counters available, Parent with pushchair access, Alternative languages available","Business & Professional Services Lower Cwmtwrch,Postal Services Lower Cwmtwrch,Post Office Lower Cwmtwrch,Business & Professional Services,Postal Services,Post Office",,"https://www.facebook.com/postoffice,https://twitter.com/intent/user?screen_name=postoffice&original_referer=https%3a%2f%2flower-cwmtwrch.cylex-uk.co.uk%2fcompany%2fpost-office-limited-23687174.html,https://www.youtube.com/user/postoffice",NA,08:30 - 17:00,08:30 - 13:00,08:30 - 12:30,Closed,08:30 - 17:00,08:30 - 17:00,08:30 - 17:00,https://lower-cwmtwrch.cylex-uk.co.uk/company/post-office-limited-23687174.html
Ash Veterinary Surgery,NA,NA,NA,NA,NA,NA,NA,"Heol Maes Y Dre, Ystradgynlais ",SA9 1HA,Ystradgynlais ,Neath Port Talbot Wales,01639 844488,NA,01639 842400,NA,,NA,NA,NA,"Vets, Pet Passport, Veterinary Group, Pet Insurance Advice",NA,NA,,NA,disabled public access,"Pets & Animals Ystradgynlais,Veterinary Services Ystradgynlais,Veterinarians Ystradgynlais,Pets & Animals,Veterinary Services,Veterinarians",,"https://www.facebook.com/AshVeterinarySurgery,https://www.youtube.com/user/AshVeterinary,https://uk.pinterest.com/ash_vets",NA,Closed,NA,Closed,Closed,NA,NA,NA,https://ystradgynlais.cylex-uk.co.uk/company/ash-veterinary-surgery-23472454.html
Global Wealth Limited,GLOBAL WEALTH LIMITED,7650182,England/Wales,11 Plas Road Rhos Swansea SA8 3HD,65110 - Life insurance,27-May-11,Private Limited Company,"3 YNYSCEDWYN LODGE, WIND ROAD ",SA9 1AD,Ystradgynlais ,Neath Port Talbot Wales,01639 845596,NA,NA,NA,,NA,NA,NA,Life Insurance,NA,NA,,NA,NA,"Finance Ystradgynlais,Insurance Ystradgynlais,Insurance Agents & Companies Ystradgynlais,Finance,Insurance,Insurance Agents & Companies",,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://ystradgynlais.cylex-uk.co.uk/company/global-wealth-limited-22523120.html
Marblehouse Limited,MARBLEHOUSE LIMITED,4559520,England/Wales,153 New Road Skewen Neath West Glamorgan SA10 6HH,43999 - Other specialised construction activities n.e.c.,10-Oct-02,Private Limited Company,11 PLAS ROAD ,SA8 3HD,Pontardawe ,Neath Port Talbot Wales,NA,NA,NA,NA,,NA,NA,NA,Insurance,NA,NA,,NA,NA,"Finance Pontardawe,Insurance Pontardawe,Insurance Agents & Companies Pontardawe,Finance,Insurance,Insurance Agents & Companies,Construction & Contractors,Builders",,NA,Builders,NA,NA,NA,NA,NA,NA,NA,https://pontardawe.cylex-uk.co.uk/company/marblehouse-limited-20587998.html
Barclays Bank,Barclays Bank,NA,NA,NA,NA,NA,NA,Oxford House 2 Brecon Road ,SA9 1HE,Ystradgynlais ,Neath Port Talbot Wales,0345 734 5345,NA,NA,NA,www.barclays.co.uk,NA,NA,"Barclays Bank Account, Barclays Personalised Card, Car Insurance, Credit cards, Home insurance, Instant Cash ISA, Life Insurance, Personal loans, Travel Insurance","Financial Services, Bank, Credit Card",NA,NA,,NA,NA,"Finance Ystradgynlais,Banking Services Ystradgynlais,Best Banks & ATMs Ystradgynlais,Finance,Banking Services,Banks & ATMs,Finance,Insurance,Insurance Agents & Companies,Finance,Mortgages,Mortgage Lenders,Finance,Investment Services,Investment Companies & Brokers,Finance,Financial Services",,"https://www.facebook.com/BarclaysUK,https://twitter.com/intent/user?screen_name=barclays&original_referer=https%3a%2f%2fystradgynlais.cylex-uk.co.uk%2fcompany%2fbarclays-bank-13507596.html",NA,Closed,09:30 - 16:00,Closed,Closed,09:30 - 16:00,09:30 - 16:00,09:30 - 16:00,https://ystradgynlais.cylex-uk.co.uk/company/barclays-bank-13507596.html
Times Financial (Cwmllynfell),NA,NA,NA,NA,NA,NA,NA,"51, GWILYM ROAD ",SA9 2GN,Cwmllynfell ,Carmarthenshire Wales,01639 830241,NA,NA,NA,,NA,NA,NA,Friendly Society,NA,NA,,NA,NA,"Finance Cwmllynfell,Insurance Cwmllynfell,Insurance Agents & Companies Cwmllynfell,Finance,Insurance,Insurance Agents & Companies",,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://cwmllynfell.cylex-uk.co.uk/company/times-financial--cwmllynfell--14680002.html
Lloyds Bank - Ystradgynlais,NA,NA,NA,NA,NA,NA,NA,14 Commercial Street ,SA9 1HD,Ystradgynlais ,Neath Port Talbot Wales,NA,NA,NA,NA,,NA,NA,NA,"Bank, Insurance, Mortgages, Loans",NA,NA,,NA,NA,"Finance Ystradgynlais,Banking Services Ystradgynlais,Banks & ATMs Ystradgynlais,Finance,Banking Services,Banks & ATMs,Finance,Mortgages,Mortgage Lenders,Finance,Insurance,Insurance Agents & Companies,Finance,Financial Services,Finance,Financial Consultants",,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://ystradgynlais.cylex-uk.co.uk/company/lloyds-bank---ystradgynlais-26210218.html
Victoria Garden Florists Ltd,NA,NA,NA,NA,NA,NA,NA,9 Orchard Street ,SA11 1DT,Neath ,Neath Port Talbot Wales,01639 631132,NA,NA,NA,neath.ukorg.org,NA,NA,NA,"Flowers, Flower Delivery, Flower Bouquets, Birthday Flowers, Special Occasion Flowers, Flowers and Gifts, Mother's Day Flowers, Valentine's Day Flowers, Wedding Flowers",NA,NA,,NA,NA,"Shopping & Retail Neath,Florists Neath,Shopping & Retail,Florists",,NA,Florists,NA,NA,NA,NA,NA,NA,NA,https://neath.cylex-uk.co.uk/company/victoria-garden-florists-ltd-14697419.html
